bus,E,Ps,Emax,Emin,Psmax,Psmin,status
101,648.0,0.0,1296.0,0.0,54.0,-54.0,1
102,582.0,0.0,1164.0,0.0,48.5,-48.5,1
107,750.0,0.0,1500.0,0.0,62.5,-62.5,1
114,1164.0,0.0,2328.0,0.0,97.0,-97.0,1
115,1902.0,0.0,3804.0,0.0,158.5,-158.5,1
116,600.0,0.0,1200.0,0.0,50.0,-50.0,1
118,1998.0,0.0,3996.0,0.0,166.5,-166.5,1
121,0.0,0.0,0.0,0.0,0.0,-0.0,1
122,0.0,0.0,0.0,0.0,0.0,-0.0,1
123,0.0,0.0,0.0,0.0,0.0,-0.0,1
201,648.0,0.0,1296.0,0.0,54.0,-54.0,1
202,582.0,0.0,1164.0,0.0,48.5,-48.5,1
207,750.0,0.0,1500.0,0.0,62.5,-62.5,1
213,1590.0,0.0,3180.0,0.0,132.5,-132.5,1
214,1164.0,0.0,2328.0,0.0,97.0,-97.0,1
215,1902.0,0.0,3804.0,0.0,158.5,-158.5,1
216,600.0,0.0,1200.0,0.0,50.0,-50.0,1
218,1998.0,0.0,3996.0,0.0,166.5,-166.5,1
221,0.0,0.0,0.0,0.0,0.0,-0.0,1
222,0.0,0.0,0.0,0.0,0.0,-0.0,1
223,0.0,0.0,0.0,0.0,0.0,-0.0,1
301,648.0,0.0,1296.0,0.0,54.0,-54.0,1
302,582.0,0.0,1164.0,0.0,48.5,-48.5,1
307,750.0,0.0,1500.0,0.0,62.5,-62.5,1
313,1590.0,0.0,3180.0,0.0,132.5,-132.5,1
314,1164.0,0.0,2328.0,0.0,97.0,-97.0,1
315,1902.0,0.0,3804.0,0.0,158.5,-158.5,1
316,600.0,0.0,1200.0,0.0,50.0,-50.0,1
318,1998.0,0.0,3996.0,0.0,166.5,-166.5,1
321,0.0,0.0,0.0,0.0,0.0,-0.0,1
322,0.0,0.0,0.0,0.0,0.0,-0.0,1
323,0.0,0.0,0.0,0.0,0.0,-0.0,1
